Author,File Name,Number of Edits,Author Edits/Commits on the file 
kohsuke,core/src/test/resources/hudson/tasks/junit/junit-report-1472.xml,16442,1
kohsuke,war/resources/scripts/yui/menu/menu-debug.js,9029,2
kohsuke,war/resources/scripts/yui/editor/editor-beta-debug.js,7969,1
kohsuke,war/resources/scripts/yui/container/container-debug.js,7853,2
kohsuke,war/resources/scripts/yui/container-debug.js,5487,3
stephenconnolly,war/images/health-20to39.svg,5157,1
kohsuke,war/resources/scripts/yui/button/button-beta-debug.js,4612,1
stephenconnolly,war/images/health-00to19.svg,4306,1
kohsuke,war/resources/scripts/yui/container/container_core-debug.js,4258,2
kohsuke,war/resources/scripts/yui/dragdrop/dragdrop-debug.js,3587,2
kohsuke,war/resources/scripts/prototype.js,3284,4
kohsuke,war/resources/scripts/yui/container_core-debug.js,3107,3
kohsuke,war/resources/scripts/yui/autocomplete-debug.js,3104,1
stephenconnolly,war/images/health-40to59.svg,3034,1
kohsuke,core/src/main/java/hudson/model/Hudson.java,2452,248
kohsuke,war/resources/scripts/yui/treeview-debug.js,2287,1
kohsuke,war/resources/scripts/yui/event-debug.js,2205,2
kohsuke,core/src/main/java/hudson/win32errors.properties,2052,1
kohsuke,war/resources/scripts/yui/logger/logger-debug.js,2030,2
kohsuke,war/resources/scripts/yui/resize/resize-beta-debug.js,1650,1
kohsuke,war/images/computer-x.svg,1527,1
kohsuke,war/images/delete-document.svg,1451,1
kohsuke,core/src/main/java/hudson/scm/CVSSCM.java,1408,90
kohsuke,war/resources/scripts/hudson-behavior.js,1378,101
kohsuke,war/resources/scripts/yui/animation-debug.js,1355,1
stephenconnolly,war/images/health-80plus.svg,1322,1
kohsuke,core/src/main/java/hudson/scm/SubversionSCM.java,1236,133
kohsuke,core/src/main/java/hudson/FilePath.java,1195,57
kohsuke,core/src/main/java/hudson/model/Run.java,1179,88
kohsuke,war/resources/scripts/yui/connection-debug.js,1129,1
kohsuke,core/src/main/java/hudson/model/AbstractProject.java,1078,104
kohsuke,war/images/network.svg,1062,1
kohsuke,war/resources/scripts/yui/element/element-beta-debug.js,1006,2
kohsuke,war/images/new-document.svg,1001,1
kohsuke,war/resources/scripts/yui/yahoo/yahoo-debug.js,974,2
kohsuke,core/src/main/java/hudson/model/Job.java,968,88
kohsuke,core/src/main/java/hudson/model/Queue.java,958,54
kohsuke,war/resources/scripts/yui/dom-debug.js,949,2
kohsuke,core/src/main/java/hudson/Functions.java,909,99
kohsuke,core/src/main/java/hudson/maven/MavenEmbedder.java,898,13
kohsuke,war/resources/scripts/yui/tabview/tabview-debug.js,897,2
stephenconnolly,core/src/main/java/hudson/util/TimeUnit2.java,897,2
kohsuke,war/images/previous.svg,852,1
kohsuke,core/src/main/java/hudson/org/apache/tools/ant/taskdefs/AbstractCvsTask.java,823,3
kohsuke,core/src/main/java/hudson/Util.java,742,52
kohsuke,war/images/computer.svg,738,1
stephenconnolly,war/images/health-60to79.svg,736,1
kohsuke,core/src/main/java/hudson/model/Fingerprint.java,727,22
kohsuke,war/resources/css/style.css,725,35
kohsuke,core/src/main/java/hudson/maven/MavenModuleSetBuild.java,707,80
kohsuke,core/src/main/java/hudson/model/AbstractBuild.java,704,65
kohsuke,remoting/src/main/java/hudson/remoting/Channel.java,687,36
kohsuke,war/resources/scripts/yui/editor/assets/skins/sam/editor-skin.css,663,1
kohsuke,core/src/main/java/hudson/util/spring/BeanBuilder.java,660,7
kohsuke,war/images/graph.svg,631,1
kohsuke,war/images/new-package.svg,625,1
kohsuke,war/images/folder-delete.svg,609,1
kohsuke,war/images/bookmark-new.svg,600,1
kohsuke,core/src/main/java/hudson/util/ProcessTreeKiller.java,599,9
kohsuke,war/images/new-user.svg,593,1
kohsuke,core/src/main/java/hudson/maven/MavenModuleSet.java,591,80
kohsuke,war/images/installer.svg,591,1
kohsuke,core/src/main/java/hudson/maven/MavenBuild.java,583,101
kohsuke,core/src/main/java/hudson/model/UpdateCenter.java,566,22
kohsuke,core/src/main/java/hudson/util/QuotedStringTokenizer.java,544,3
kohsuke,war/resources/scripts/yui/editor/assets/editor-core.css,541,1
