Author,File Name,Number of Edits,Author Edits/Commits on the file 
546669204,app/src/main/java/com/example/administrator/webot/TestHook.java,855,1
546669204,app/src/main/java/com/example/administrator/webot/MySocket.java,464,1
546669204,app/src/test/java/com/example/administrator/webot/Test2.java,418,1
546669204,app/src/main/java/com/example/administrator/webot/openSQLite.java,290,1
546669204,LICENSE,201,2
546669204,app/src/test/java/com/example/administrator/webot/ExampleUnitTest.java,165,1
546669204,gradlew,160,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketService.java,159,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketServiceUDP.java,150,1
546669204,README.ch.md,108,3
546669204,README.md,108,3
546669204,app/src/main/java/com/example/administrator/webot/Protocl.java,105,1
546669204,app/src/main/java/com/example/administrator/webot/HookLoader.java,91,1
546669204,app/src/main/res/layout/activity_main.xml,91,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketClient.java,90,1
546669204,gradlew.bat,90,1
546669204,app/build.gradle,76,2
546669204,app/src/main/res/drawable/ic_launcher_background.xml,74,1
546669204,.idea/misc.xml,68,2
Jarvanh,.gitignore,59,1
546669204,.idea/codeStyles/Project.xml,58,2
546669204,app/src/main/java/com/example/administrator/webot/MainActivity.java,57,1
546669204,app/src/main/java/com/example/administrator/webot/MyService.java,52,1
546669204,app/src/main/AndroidManifest.xml,49,1
546669204,app/src/main/java/com/example/administrator/webot/MySocketClientUDP.java,41,1
546669204,.idea/gradle.xml,36,2
546669204,app/src/main/res/drawable-v24/ic_launcher_foreground.xml,34,1
546669204,build.gradle,27,1
546669204,app/src/androidTest/java/com/example/administrator/webot/ExampleInstrumentedTest.java,26,1
546669204,app/src/main/java/com/example/administrator/webot/MyApplication.java,26,1
546669204,.idea/runConfigurations.xml,24,2
546669204,app/proguard-rules.pro,21,2
546669204,app/src/main/res/values/styles.xml,20,1
546669204,app/src/main/res/values/strings.xml,19,1
546669204,.gitignore,18,2
546669204,.idea/modules.xml,18,2
546669204,gradle.properties,18,1
546669204,app/src/main/res/layout/notification.xml,16,1
546669204,.idea/vcs.xml,12,2
Jarvanh,app/src/main/java/com/example/administrator/webot/MySocket.java,8,1
546669204,app/src/main/res/values/colors.xml,6,1
546669204,gradle/wrapper/gradle-wrapper.properties,6,1
546669204,app/src/main/java/com/example/administrator/webot/Config.java,5,1
546669204,app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,5,1
546669204,app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,5,1
546669204,app/src/main/res/values/dimens.xml,3,1
546669204,app/.gitignore,2,2
Jarvanh,app/src/main/java/com/example/administrator/webot/openSQLite.java,2,1
546669204,app/src/main/assets/xposed_init,1,2
546669204,settings.gradle,1,1
546669204,.idea/caches/build_file_checksums.ser,0,2
546669204,app/libs/api-82-sources.jar,0,2
546669204,app/libs/api-82.jar,0,2
546669204,app/libs/dom4j-1.6.1.jar,0,2
546669204,app/libs/fastjson-1.2.47.jar,0,2
546669204,app/src/main/res/drawable-hdpi/ic_action_stat_reply.png,0,1
546669204,app/src/main/res/drawable-hdpi/ic_action_stat_share.png,0,1
546669204,app/src/main/res/drawable-hdpi/ic_stat_new_message.png,0,1
546669204,app/src/main/res/drawable-mdpi/ic_action_stat_reply.png,0,1
546669204,app/src/main/res/drawable-mdpi/ic_action_stat_share.png,0,1
546669204,app/src/main/res/drawable-mdpi/ic_stat_new_message.png,0,1
546669204,app/src/main/res/drawable-nodpi/example_picture.png,0,1
546669204,app/src/main/res/drawable-xhdpi/ic_action_stat_reply.png,0,1
546669204,app/src/main/res/drawable-xhdpi/ic_action_stat_share.png,0,1
546669204,app/src/main/res/drawable-xhdpi/ic_stat_new_message.png,0,1
546669204,app/src/main/res/drawable-xxhdpi/ic_stat_new_message.png,0,1
546669204,app/src/main/res/mipmap-hdpi/ic_launcher.png,0,1
546669204,app/src/main/res/mipmap-hdpi/ic_launcher_round.png,0,1
546669204,app/src/main/res/mipmap-mdpi/ic_launcher.png,0,1
546669204,app/src/main/res/mipmap-mdpi/ic_launcher_round.png,0,1
546669204,app/src/main/res/mipmap-xhdpi/ic_launcher.png,0,1
546669204,app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,0,1
546669204,app/src/main/res/mipmap-xxhdpi/ic_launcher.png,0,1
546669204,app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,0,1
546669204,app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,0,1
546669204,app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,0,1
546669204,gradle/wrapper/gradle-wrapper.jar,0,1
Jarvanh,app/build.gradle,0,1
Jarvanh,app/libs/dom4j-1.6.1.jar,0,1
Jarvanh,app/libs/fastjson-1.2.47.jar,0,1
Jarvanh,app/src/main/assets/xposed_init,0,1
Jarvanh,build.gradle,0,1
Jarvanh,app/src/main/AndroidManifest.xml,-4,1
Jarvanh,app/src/main/java/com/example/administrator/webot/MyService.java,-8,1
